,state_usa,date_hur
0,Kentucky Remnants of Hurricane Helene (DR-4848-KY),"Incident Period: September 27, 2024 - September 30, 2024"
1,Seminole Tribe of Florida Hurricane Milton (DR-4844),"Incident Period: October 5, 2024 - November 2, 2024"
2,Florida Hurricane Milton (DR-4834-FL),"Incident Period: October 5, 2024 - November 2, 2024"
3,Georgia Hurricane Helene (DR-4830-GA),"Incident Period: September 24, 2024 - October 30, 2024"
4,South Carolina Hurricane Helene (DR-4829-SC),"Incident Period: September 25, 2024 - October 7, 2024"
5,South Carolina Tropical Storm Debby (DR-4835-SC),"Incident Period: August 4, 2024 - August 22, 2024"
6,Florida Hurricane Helene (DR-4828-FL),"Incident Period: September 23, 2024 - October 7, 2024"
7,Georgia Tropical Storm Debby (DR-4821-GA),"Incident Period: August 4, 2024 - August 20, 2024"
8,New York Remnants of Tropical Storm Debby (DR-4825-NY),"Incident Period: August 8, 2024 - August 10, 2024"
9,Louisiana Hurricane Francine (DR-4817-LA),"Incident Period: September 9, 2024 - September 12, 2024"
10,"New York Severe Storm, Tornadoes, and Flooding (DR-4814-NY)","Incident Period: July 10, 2024 - July 11, 2024"
11,Florida Hurricane Debby (DR-4806-FL),"Incident Period: August 1, 2024 - August 27, 2024"
12,Texas Hurricane Beryl (DR-4798-TX),"Incident Period: July 5, 2024 - July 9, 2024"
13,California Hurricane Hilary (DR-4750-CA),"Incident Period: August 19, 2023 - August 21, 2023"
14,Georgia Hurricane Idalia (DR-4738-GA),"Incident Period: Aug 30, 2023"
15,Florida Hurricane Idalia (DR-4734-FL),"Incident Period: August 27, 2023 - September 4, 2023"
16,Guam Typhoon Mawar (DR-4715-GU),"Incident Period: May 22, 2023 - May 29, 2023"
17,Florida Hurricane Nicole (DR-4680-FL),"Incident Period: November 7, 2022 - November 30, 2022"
18,South Carolina Hurricane Ian (DR-4677-SC),"Incident Period: September 25, 2022 - October 4, 2022"
19,Seminole Tribe of Florida Hurricane Ian (DR-4675),"Incident Period: September 23, 2022 - November 4, 2022"
20,Florida Hurricane Ian (DR-4673-FL),"Incident Period: September 23, 2022 - November 4, 2022"
21,Puerto Rico Hurricane Fiona (DR-4671-PR),"Incident Period: September 17, 2022 - September 21, 2022"
22,Connecticut Remnants of Hurricane Ida (DR-4629-CT),"Incident Period: September 1, 2021 - September 2, 2021"
23,Delaware Remnants of Hurricane Ida (DR-4627-DE),"Incident Period: September 1, 2021 - September 7, 2021"
24,Mississippi Hurricane Ida (DR-4626-MS),"Incident Period: August 28, 2021 - September 1, 2021"
25,New York Remnants of Tropical Storm Fred (DR-4625-NY),"Incident Period: August 18, 2021 - August 19, 2021"
26,Pennsylvania Remnants of Hurricane Ida (DR-4618-PA),"Incident Period: August 31, 2021 - September 5, 2021"
27,North Carolina Remnants of Tropical Storm Fred (DR-4617-NC),"Incident Period: August 16, 2021 - August 18, 2021"
28,New Jersey Remnants of Hurricane Ida (DR-4614-NJ),"Incident Period: September 1, 2021 - September 3, 2021"
29,New York Remnants of Hurricane Ida (DR-4615-NY),"Incident Period: September 1, 2021 - September 3, 2021"
30,Louisiana Hurricane Ida (DR-4611-LA),"Incident Period: August 26, 2021 - September 3, 2021"
31,Maryland Tropical Storm Isaias (DR-4583-MD),"Incident Period: August 3, 2020 - August 4, 2020"
32,Georgia Tropical Storm Zeta (DR-4579-GA),"Incident Period: Oct 29, 2020"
33,Connecticut Tropical Storm Isaias (DR-4580-CT),"Incident Period: Aug 4, 2020"
34,New Jersey Tropical Storm Isaias (DR-4574-NJ),"Incident Period: Aug 4, 2020"
35,Texas Hurricane Laura (DR-4572-TX),"Incident Period: August 23, 2020 - August 27, 2020"
36,Louisiana Hurricane Delta (DR-4570-LA),"Incident Period: October 6, 2020 - October 10, 2020"
37,North Carolina Hurricane Isaias (DR-4568-NC),"Incident Period: July 31, 2020 - August 4, 2020"
38,Delaware Tropical Storm Isaias (DR-4566-DE),"Incident Period: August 4, 2020 - August 7, 2020"
39,New York Tropical Storm Isaias (DR-4567-NY),"Incident Period: Aug 4, 2020"
40,Florida Hurricane Sally (DR-4564-FL),"Incident Period: September 14, 2020 - September 28, 2020"
41,Alabama Hurricane Sally (DR-4563-AL),"Incident Period: September 14, 2020 - September 16, 2020"
42,Puerto Rico Tropical Storm Isaias (DR-4560-PR),"Incident Period: July 29, 2020 - July 31, 2020"
43,Louisiana Hurricane Laura (DR-4559-LA),"Incident Period: August 22, 2020 - August 27, 2020"
44,Florida Hurricane Dorian (DR-4468-FL),"Incident Period: August 28, 2019 - September 9, 2019"
45,North Carolina Hurricane Dorian (DR-4465-NC),"Incident Period: September 1, 2019 - September 9, 2019"
46,South Carolina Hurricane Dorian (DR-4464-SC),"Incident Period: August 31, 2019 - September 6, 2019"
47,Louisiana Hurricane Barry (DR-4458-LA),"Incident Period: July 10, 2019 - July 15, 2019"
48,North Carolina Tropical Storm Michael (DR-4412-NC),"Incident Period: October 10, 2018 - October 12, 2018"
49,Virginia Tropical Storm Michael (DR-4411-VA),"Incident Period: October 9, 2018 - October 16, 2018"
50,Alabama Hurricane Michael (DR-4406-AL),"Incident Period: October 10, 2018 - October 13, 2018"
51,Virginia Hurricane Florence (DR-4401-VA),"Incident Period: September 8, 2018 - September 21, 2018"
52,Georgia Hurricane Michael (DR-4400-GA),"Incident Period: October 9, 2018 - October 23, 2018"
53,Florida Hurricane Michael (DR-4399-FL),"Incident Period: October 7, 2018 - October 19, 2018"
54,Hawaii Hurricane Lane (DR-4395-HI),"Incident Period: August 22, 2018 - August 29, 2018"
55,South Carolina Hurricane Florence (DR-4394-SC),"Incident Period: September 8, 2018 - October 8, 2018"
56,North Carolina Hurricane Florence (DR-4393-NC),"Incident Period: September 7, 2018 - September 29, 2018"
57,American Samoa Tropical Storm Gita (DR-4357-AS),"Incident Period: February 7, 2018 - February 12, 2018"
58,Mississippi Hurricane Nate (DR-4350-MS),"Incident Period: October 6, 2017 - October 10, 2017"
59,Alabama Hurricane Nate (DR-4349-AL),"Incident Period: October 6, 2017 - October 10, 2017"
60,Louisiana Tropical Storm Harvey (DR-4345-LA),"Incident Period: August 28, 2017 - September 10, 2017"
61,South Carolina Hurricane Irma (DR-4346-SC),"Incident Period: September 6, 2017 - September 13, 2017"
62,Seminole Tribe of Florida Hurricane Irma (DR-4341),"Incident Period: September 4, 2017 - October 4, 2017"
63,Puerto Rico Hurricane Maria (DR-4339-PR),"Incident Period: September 17, 2017 - November 15, 2017"
64,Virgin Islands Hurricane Maria (DR-4340-VI),"Incident Period: September 16, 2017 - September 22, 2017"
65,Georgia Hurricane Irma (DR-4338-GA),"Incident Period: September 7, 2017 - September 20, 2017"
66,Puerto Rico Hurricane Irma (DR-4336-PR),"Incident Period: September 5, 2017 - September 7, 2017"
67,Florida Hurricane Irma (DR-4337-FL),"Incident Period: September 4, 2017 - October 18, 2017"
68,Virgin Islands Hurricane Irma (DR-4335-VI),"Incident Period: September 5, 2017 - September 7, 2017"
69,Texas Hurricane Harvey (DR-4332-TX),"Incident Period: August 23, 2017 - September 15, 2017"
70,Virginia Hurricane Matthew (DR-4291-VA),"Incident Period: October 7, 2016 - October 15, 2016"
71,South Carolina Hurricane Matthew (DR-4286-SC),"Incident Period: October 4, 2016 - October 30, 2016"
72,North Carolina Hurricane Matthew (DR-4285-NC),"Incident Period: October 4, 2016 - October 24, 2016"
73,Florida Hurricane Matthew (DR-4283-FL),"Incident Period: October 3, 2016 - October 19, 2016"
74,Georgia Hurricane Matthew (DR-4284-GA),"Incident Period: October 4, 2016 - October 15, 2016"
75,Florida Hurricane Hermine (DR-4280-FL),"Incident Period: August 31, 2016 - September 11, 2016"
76,Pennsylvania Hurricane Sandy (DR-4099-PA),"Incident Period: October 26, 2012 - November 8, 2012"
77,Ohio Hurricane Sandy (DR-4098-OH),"Incident Period: October 29, 2012 - October 30, 2012"
78,Massachusetts Hurricane Sandy (DR-4097-MA),"Incident Period: October 27, 2012 - November 8, 2012"
79,District of Columbia (DC) Hurricane Sandy (DR-4096-DC),"Incident Period: October 26, 2012 - October 31, 2012"
80,New Hampshire Hurricane Sandy (DR-4095-NH),"Incident Period: October 26, 2012 - November 8, 2012"
81,West Virginia Hurricane Sandy (DR-4093-WV),"Incident Period: October 29, 2012 - November 8, 2012"
82,Virginia Hurricane Sandy (DR-4092-VA),"Incident Period: October 26, 2012 - November 8, 2012"
83,Maryland Hurricane Sandy (DR-4091-MD),"Incident Period: October 26, 2012 - November 4, 2012"
84,Delaware Hurricane Sandy (DR-4090-DE),"Incident Period: October 27, 2012 - November 8, 2012"
85,Rhode Island Hurricane Sandy (DR-4089-RI),"Incident Period: October 26, 2012 - October 31, 2012"
86,New York Hurricane Sandy (DR-4085-NY),"Incident Period: October 27, 2012 - November 8, 2012"
87,New Jersey Hurricane Sandy (DR-4086-NJ),"Incident Period: October 26, 2012 - November 8, 2012"
88,Connecticut Hurricane Sandy (DR-4087-CT),"Incident Period: October 27, 2012 - November 8, 2012"
89,Florida Hurricane Isaac (DR-4084-FL),"Incident Period: August 27, 2012 - August 29, 2012"
90,Alabama Hurricane Isaac (DR-4082-AL),"Incident Period: August 26, 2012 - September 5, 2012"
91,Louisiana Hurricane Isaac (DR-4080-LA),"Incident Period: August 26, 2012 - September 10, 2012"
92,Mississippi Hurricane Isaac (DR-4081-MS),"Incident Period: August 26, 2012 - September 11, 2012"
93,Puerto Rico Tropical Storm Maria (DR-4040-PR),"Incident Period: September 8, 2011 - September 14, 2011"
94,Delaware Hurricane Irene (DR-4037-DE),"Incident Period: August 25, 2011 - August 31, 2011"
95,District of Columbia (DC) Hurricane Irene (DR-4036-DC),"Incident Period: August 26, 2011 - September 1, 2011"
96,Maryland Hurricane Irene (DR-4034-MD),"Incident Period: August 24, 2011 - September 5, 2011"
97,Maine Tropical Storm Irene (DR-4032-ME),"Incident Period: August 27, 2011 - August 29, 2011"
98,Virginia Hurricane Irene (DR-4024-VA),"Incident Period: August 26, 2011 - August 28, 2011"
99,Pennsylvania Hurricane Irene (DR-4025-PA),"Incident Period: August 26, 2011 - August 30, 2011"
100,New Hampshire Tropical Storm Irene (DR-4026-NH),"Incident Period: August 26, 2011 - September 6, 2011"
101,Rhode Island Tropical Storm Irene (DR-4027-RI),"Incident Period: August 27, 2011 - August 29, 2011"
102,Massachusetts Tropical Storm Irene (DR-4028-MA),"Incident Period: August 27, 2011 - August 29, 2011"
103,Connecticut Tropical Storm Irene (DR-4023-CT),"Incident Period: August 27, 2011 - September 1, 2011"
104,Vermont Tropical Storm Irene (DR-4022-VT),"Incident Period: August 27, 2011 - September 2, 2011"
105,North Carolina Hurricane Irene (DR-4019-NC),"Incident Period: August 25, 2011 - September 1, 2011"
106,New York Hurricane Irene (DR-4020-NY),"Incident Period: August 26, 2011 - September 5, 2011"
107,New Jersey Hurricane Irene (DR-4021-NJ),"Incident Period: August 27, 2011 - September 5, 2011"
108,Puerto Rico Hurricane Irene (DR-4017-PR),"Incident Period: August 21, 2011 - August 24, 2011"
109,Virgin Islands Hurricane Earl (DR-1939-VI),"Incident Period: August 29, 2010 - August 31, 2010"
